,Parameter,Is acceptable?,Description,Suggestion
75,ohm_threshsw,Yes,Value = [10. 10. 10. 10. 10. 10. 10. 10.],should be between -inf and inf
76,ohm_threshwd,Yes,Value = [0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9],should be between 0 and inf
77,pipecapacity,Yes,Value = [100.],should be between 0 and inf
78,popdensdaytime,Yes,Value = [204.58],should be between 0 and inf
79,popdensnighttime,Yes,Value = [204.58],should be between 0 and inf
80,popprof_24hr,Yes,"Value = [1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.5 1.  2.  1.  2.  1.  2.  1.5
 2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.
 2.  2.  2.  2.  2.  2.  1.5 2.  1.  1.5 1.  1. ]",should be between 0 and inf
81,pormax_dec,Yes,Value = [0.6],should be between 0 and inf
82,pormin_dec,Yes,Value = [0.2],should be between 0 and inf
83,preciplimit,Yes,Value = [2.2],should be between 0 and inf
84,preciplimitalb,Yes,Value = [2.],should be between 0 and inf
85,qf0_beu,Yes,Value = [0.88 0.88],should be between 0 and inf
86,qf_a,NA,Value = [0.3743 0.3412],
87,qf_b,NA,Value = [0. 0.],
88,qf_c,NA,Value = [0.0073 0.0067],
89,radmeltfact,Yes,Value = [0.001],should be between 0 and inf
90,raincover,Yes,Value = [1.],should be between 0 and inf
91,rainmaxres,Yes,Value = [10.],should be between 0 and inf
92,resp_a,NA,Value = [1.08 1.08 1.08],
93,resp_b,NA,Value = [0.064 0.064 0.064],
94,runofftowater,Yes,Value = [0.],should be between 0 and 1
95,s1,NA,Value = [5.56],
96,s2,NA,Value = [0.],
97,sathydraulicconduct,Yes,Value = [0.0005 0.0005 0.0005 0.0005 0.0005 0.0005 0.    ],should be between 0 and inf
98,sddfull,Yes,Value = [-450. -450. -450.],should be between -inf and inf
99,sfr,Yes,Value = [0.43  0.38  0.001 0.019 0.029 0.001 0.14 ],should be between 0 and 1
100,snowalbmax,Yes,Value = [0.8],should be between 0 and 1
101,snowalbmin,Yes,Value = [0.18],should be between 0 and 1
102,snowdensmax,Yes,Value = [450.],should be between 0 and inf
103,snowdensmin,Yes,Value = [100.],should be between 0 and inf
104,snowlimbldg,Yes,Value = [8.5],should be between 0 and inf
105,snowlimpaved,Yes,Value = [10.],should be between 0 and inf
106,snowpacklimit,Yes,Value = [ 120.  120.  120.  120.  120. -999.    0.],should be between 0 and inf
107,snowprof_24hr,Yes,"Value = [-999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.]",should be between 0 and inf
108,soildepth,Yes,Value = [350. 350. 350. 350. 350. 350.   0.],should be between 0 and inf
109,soilstorecap,Yes,Value = [150. 150. 150. 150. 150. 150.   0.],should be between 0 and inf
110,startdls,Yes,Value = [85.],should be between 1 and 366
111,statelimit,Yes,Value = [4.8e-01 2.5e-01 1.3e+00 8.0e-01 1.9e+00 1.0e+00 3.0e+04],should be between 0 and inf
112,storedrainprm,NA,"Value = [ 0.48   0.25   1.3    0.3    1.9    1.     0.5    3.     3.     2.
  2.     2.     2.     0.    10.    10.     0.013  0.013  0.013  0.013
  0.     3.     3.     1.71   1.71   1.71   1.71   0.     0.48   0.25
  1.3    0.8    1.9    1.     0.5    0.48   0.25   1.3    0.3    1.9
  1.     0.5  ]",
113,surfacearea,Yes,Value = [22215600.],should be between 0 and inf
114,t_critic_cooling,Yes,Value = [7. 7.],should be between -inf and inf
115,t_critic_heating,Yes,Value = [7. 7.],should be between -inf and inf
116,tau_a,Yes,Value = [0.01],should be between 0 and 10
117,tau_f,NA,Value = [0.1],
118,tau_r,NA,Value = [0.02],
119,tempmeltfact,Yes,Value = [0.14],should be between 0 and inf
120,th,Yes,Value = [55.],should be between -inf and inf
121,theta_bioco2,NA,Value = [-999. -999. -999.],
122,timezone,Yes,Value = [0.],should be between -24 and 24
123,tl,Yes,Value = [-10.],should be between -inf and inf
124,trafficrate,Yes,Value = [-999. -999.],should be between 0 and inf
125,trafficunits,NA,Value = [1.],
126,traffprof_24hr,Yes,"Value = [0.19 0.55 0.14 0.54 0.12 0.51 0.13 0.46 0.2  0.36 0.59 0.31 1.21 0.38
 1.67 0.49 1.57 0.73 1.32 1.04 1.27 1.3  1.31 1.51 1.37 1.69 1.44 1.79
 1.74 1.79 2.01 1.76 1.9  1.71 1.53 1.61 1.2  1.43 1.   1.23 0.83 1.
 0.59 0.75 0.4  0.58 0.3  0.5 ]",should be between 0 and inf
127,waterdist,Yes,"Value = [0.   0.1  0.1  0.1  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.02 0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.98 0.9  0.9  0.9  1.   1.  ]",should be between 0 and 1
128,wetthresh,Yes,Value = [0.48 0.25 1.3  0.8  1.9  1.   0.5 ],should be between 0 and inf
129,wuprofa_24hr,Yes,"Value = [-999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.]",should be between 0 and inf
130,wuprofm_24hr,Yes,"Value = [-999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.
 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.]",should be between 0 and inf
131,z,Yes,Value = [49.6],should be between 0 and inf
132,z0m_in,Yes,Value = [1.9],should be between 0 and inf
133,zdm_in,Yes,Value = [14.2],should be between 0 and inf
134,aerodynamicresistancemethod,NA,Value = [2],
135,evapmethod,NA,Value = [2],
136,laicalcyes,NA,Value = [1],
137,veg_type,NA,Value = [1],
138,diagnose,NA,Value = [0],
139,diagqn,NA,Value = [0],
140,diagqs,NA,Value = [0],
141,emissionsmethod,Yes,Value = [2],"should be one of [0, 1, 2, 3]"
142,netradiationmethod,Yes,Value = [3],"should be one of [0, 1, 2, 3, 100, 200, 300]"
143,ohmincqf,Yes,Value = [0],"should be one of [0, 1]"
144,roughlenheatmethod,Yes,Value = [2],"should be one of [1, 2, 3, 4]"
145,roughlenmommethod,Yes,Value = [2],"should be one of [1, 2, 3]"
146,smdmethod,Yes,Value = [0],"should be one of [0, 1, 2]"
147,snowuse,Yes,Value = [1],"should be one of [0, 1]"
148,stabilitymethod,Yes,Value = [3],"should be one of [0, 1, 2, 3, 4]"
149,storageheatmethod,Yes,Value = [1],"should be one of [1, 2, 3, 4]"
150,tstep,Yes,Value = [300],should be between 0 and inf
151,waterusemethod,Yes,Value = [0],"should be one of [0, 1]"
152,qn1_av,NA,Value = [0],
153,qn1_s_av,NA,Value = [0],
154,dqndt,NA,Value = [0],
155,dqnsdt,NA,Value = [0],
156,snowdens,Yes,Value = [100. 100. 100. 100. 100. 100. 100.],should be between 0 and inf
157,snowfrac,Yes,Value = [0. 0. 0. 0. 0. 0. 1.],should be between 0 and 1
158,snowpack,Yes,Value = [0. 0. 0. 0. 0. 0. 0.],should be between 0 and inf
159,snowwater,Yes,Value = [0. 0. 0. 0. 0. 0. 0.],should be between 0 and inf
160,soilstore_id,Yes,Value = [150. 150. 150. 150. 150. 150.   0.],should be between 0 and inf
161,state_id,Yes,Value = [0.  0.  0.  0.  0.  0.  0.2],should be between 0 and inf
162,icefrac,Yes,Value = [0.2 0.2 0.2 0.2 0.2 0.2 0.2],should be between 0 and 1
163,snowfallcum,Yes,Value = [0.],should be between 0 and inf
164,snowalb,Yes,Value = [0.],should be between 0 and 1
165,porosity_id,Yes,Value = [0.2],should be between 0 and inf
166,albdectr_id,Yes,Value = [0.12],should be between 0 and 1
167,albevetr_id,Yes,Value = [0.1],should be between 0 and 1
168,albgrass_id,Yes,Value = [0.18],should be between 0 and 1
169,decidcap_id,Yes,Value = [0.3],should be between 0 and inf
170,lai_id,Yes,Value = [4.  1.  1.6],should be between 0 and inf
171,gdd_id,Yes,Value = [  0.   0.  90. -90.   0.],should be between -inf and inf
172,hdd_id,Yes,Value = [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],should be between -inf and inf
173,wuday_id,NA,Value = [0. 0. 0. 0. 0. 0. 0. 0. 0.],
174,dt_since_start,NA,Value = [0.],
175,tstep_prev,NA,Value = [300],
176,tair24hr,Yes,"Value = [273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15
 273.15 273.15 273.15 273.15 273.15 273.15 273.15 273.15]",should be between -inf and inf
177,numcapita,Yes,Value = [204.58],should be between 0 and inf
178,gridiv,Yes,Value = [98],should be between 0 and inf
